Name,Description,Image
,,
Сфера неба,"(do): Наносит (dmg)1 (1) и (dmg)1 (2)<br>(trash): Наносит (dmg)7-(номер позиции) всем монстрам","images\cover\aootf2.png"
Бактерия убийца,"(do): Убивает всех монстров с (hp)1<br>(trash): Убивает всех монстров с (hp)1 включая тех что в открытых комнатах","images\cover\bacteriakiller.jpg"
Банан,"(do): (dmg)1 монстру и следующим за ним<br>(trash): Восстанавливает (hp)2","images\cover\banana.jpg"
Беляш,"(do): Восстанавливает (hp)1<br>(trash): Восстанавливает (hp)2","images\cover\belyash.png"
Букет роз,"(do): Восстанавливает (hp)3 любому игроку<br>(trash): (dmg)1 всем монстрам","images\cover\roses.jpg"
Двустволка,"(do): Нанести (dmg)1 двум монстрам<br>(trash): Нанести (dmg)3 двум монстрам","images\cover\doublebarrel.png"
Допинг,"(do): +(dmg)1 ко всем атакам в цикле, получить (dmg)1<br>(trash): +(dmg)3 ко всем атакам в цикле, получить (dmg)3","images\cover\doping.png"
Дрон,"(do): (dmg)1(1)<br>(trash): (dmg)1 последнему монстру","images\cover\drone.jpg"
Еврейские связи,"(do): Выйти из боя<br>(trash): Заставить другого игрока драться вместо тебя, вы получаете все награды за бой","images\cover\jew.jpg"
Приманка,"(do): Заставляет (weak) использовать эффект против (medi)<br>(trash): Заставляет (medi) использовать эффект против (strong)","images\cover\lure.png"
Камень желаний,"(do): (dmg)1 по (weak)<br>(trash): Выкидывается заменяется на другой предмет, который сразу же активен и может быть использован","images\cover\wishstone.jpg"
Клоун-камикадзе,"(do): Восстанавливает (hp)2<br>(trash): Убивает монстра","images\cover\kamikazeclown.png"
Конь,"(do): Ограничения по позиции монстров не действуют в этом цикле<br>(trash): Убивает (1), выходим из боя","images\cover\horse.jpg"
Лопата,"(do): Нанести (dmg)1<br>(trash): Убивает (1)","images\cover\shovel.jpg"
Миксер,"(do): (dmg)3(1), Получить (arm)3<br>(trash): (dmg)2 всем монстрам","images\cover\mixer.jpg"
Мутагенные отходы,"(do): Монстры в цикле наносят -(dmg)1, (dmg)1 всем монстрам<br>(trash): Все монстры теряют половину(hp)","images\cover\mutagenicwaste.png"
Нож,"(do): (dmg)1(weak)<br>(trash): Выбери игрока, он использует (do)любых предметов против выбранного монстра","images\cover\knife.jpg"
Нунчаки,"(do): (dmg)1 всем игрокам<br>(trash): (dmg)2 всем монстрам","images\cover\nunchaku.png"
Отвёртка,"(do): Положите жетон на предмет, нанесите (1) (dmg)(количество жетонов)<br>(pass): В конце боя сбросьте жетоны<br>(trash): нанесите (dmg)(количество жетонов * 2)","images\cover\screwdriver.png"
Очки,"(do): Можно выбрать эффект всех монстров, получить (dmg)1<br>(trash): Восстанавливает (dice) (hp)","images\cover\glasses.jpg"
Перцовый баллончик,"(do): На один цикл убирает эффект любого монстра<br>(trash): На один цикл убирает эффект всех монстров","images\cover\pepperspray.jpg"
Песочные часы,"(do): Переставить монстров в любом порядке<br>(trash): Обменяйся картами в руке с любым другим игроком","images\cover\hourglass.jpg"
Поцелуй удачи,"(do): (dice): 1-3: 1 урон сильным и средним монстрам; 4-5: +1 к любому урону от карт; 6: 3 урона сильным, 2 урона средним, 1 урон слабым<br>(trash): (dmg)1 всем монстрам, восстанавливает (hp)4","images\cover\luckykiss.jpg"
Пушка,"(do): Наносит (dmg)2(1)и(2)<br>(trash): Наносит (dmg)5(1)и(2)","images\cover\cannon.png"
Разделитель боли,"(do): Выберите игрока, вы делите весь полученный урон на двоих<br>(trash): Выбранный игрок или монстр получает двойной урон в этом цикле","images\cover\painshare.jpg"
Таблетка экстази,"(do): Все игроки восстанавливают (hp)1<br>(trash): Эффекты монстров не работают в этом цикле, восстанавливаешь (hp)2","images\cover\ecstasy.jpg"
Тумблер,"(do): Перевернуть кубик вверх ногами<br>(trash): Перевернуть кубик как хочешь","images\cover\tumbler.jpg"
