Name,Description,Image,Hp
,,,
Сфера неба,"(do): Наносит (dmg)1 следующей цели кроме (aoe)<br>(harm)6: Наносит (dmg)7-(номер позиции) всем врагам","images\cover\",8
Бактерия убийца,"(do): Если после нанесения (dmg) у цели меньше (hp)2 - убивает цель<br>(harm)7: Убивает всех существ с (hp)<2 включая тех что в открытых комнатах","images\cover\",8
Банан,"(do): Восстанавлявает (hp)2 стоящему спереди<br>(discard)1: Восстанавливает (hp)4 союзнику","images\cover\",10
Двустволка,"(do): При (melee) наносит урон следующей цели<br>(harm)3: Нанести свой (dmg) двум врагам","images\cover\",5
Допинг,"(do): +(dmg)1 ко всем атакам в ходу, (harm)2<br>(harm)4: +(dmg)3 ко всем атакам в раунде любой цели","images\cover\",6
Еврейские связи,"(harm)5: Заставить другого игрока драться вместо тебя, вы получаете все награды за бой","images\cover\",5
Приманка,"(do): Заставляет (weak) ударить одного (medi)<br>(harm)2: Заставляет (medi) ударить одного (strong)","images\cover\",7
Камень желаний,"(do): (dmg)1 по всем (weak)<br>(harm)0: Выкидывается заменяется на другого человека, которого можно сразу пустить в бой","images\cover\",6
Клоун-камикадзе,"(do): Восстанавливает (hp)2<br>(harm)4: Убивает врага","images\cover\",4
Конь,"(pass): (melee) работает как (range) для меня<br>(discard)3: Убивает (1), завершает бой","images\cover\",6
Миксер,"(do): (dmg)+2 для (melee), Получить (arm)3<br>(harm)3: (dmg)2 всем врагам","images\cover\",5
Мутагенные отходы,"(pass): Враги наносят -(dmg)1<br>(harm)4: Все враги теряют половину(hp)","images\cover\",4
Нож,"(do): (dmg)1 любому (weak)<br>(harm)4: Выбери игрока, он использует (do) всех надетых предметов против выбранного врага","images\cover\",5
Нунчаки,"(do): (dmg)1 всем врагам, (harm)1<br>(harm)5: (dmg)2 всем врагам","images\cover\",7
Отвёртка,"(do): Если (melee) получаю (dmg)+1<br>(harm)0: Нанести мой (dmg)x2 себе и любой цели","images\cover\",5
Очки,"(pass): Можно выбрать эффект всех монстров<br>(discard)1: Воостановить (hp)(dice)","images\cover\",8
Перцовый баллончик,"(do): (silence)<br>(harm)3: (silence) всем на любой стороне","images\cover\",5
Песочные часы,"(harm)2: Переставить врагов в любом порядке","images\cover\",6
Поцелуй удачи,"(do): (dice): 1-3: 1 урон (strong) и (medi); 4-5: (dmg)+1; 6: (dmg)3 (strong), (dmg)2 по (medi), (dmg)1 по (weak)<br>(discard)2: (dmg)1 всем врагам, восстанавливает (hp)4","images\cover\",7
Разделитель боли,"(do): Вы с целью делите весь полученный (dmg) на двоих в этом раунде<br>(harm)4: Выбранный игрок или монстр получает (dmg)x2 в этом раунде","images\cover\",6
Таблетка экстази,"(do): Все союзники восстанавливают (hp)1 (harm)1<br>(harm)2: (silence) всем на любой стороне, восстанавливает (hp)2 союзнику","images\cover\",4
Тумблер,"(harm)2: Перевернуть кубик как хочешь","images\cover\",6
Пушка-ваншотка,"(do): (harm)1<br>(harm)2: Нанести (dmg)Потерянные (hp) х2","images\cover\",8
Шапка из фольги,"(do): (arm)1<br>(harm)5: (silence) комнате и всем ожившим вещам в ней навсегда","images\cover\",6
Армор,"(do): Дает (arm)1<br>(pass): Уменьшает весь (dmg) по мне на 1<br>(harm)3: (arm)5","images\cover\",6
Колючий доспех,"(do): (arm)1<br>(pass): (spike)Половину нанесённого (dmg)<br>(harm)3: (dmg)5 любой цели","images\cover\",6
Сосулька,"(do): (freeze) кроме (aoe)<br>(harm)3: (dmg)5 любой цели и замораживает всех на любой стороне","images\cover\",4
Потасовка,"(do): Перемещает цель на любую позицию<br>(harm)5: Перемешивает всех на любой стороне и убитвает случайного","images\cover\",5
Грядка огурцов,"(do): Сбросить карту с руки чтобы уменьшить (dmg) всех врагов на 1, восстанавливает (hp)2<br>(harm)4: Вытягиваем человека и (weak)","images\cover\",6
Снежная буря,"(do): (silence) кроме (aoe)<br>(harm)4: (silence) всем на любой стороне, самый повреждённый умирает","images\cover\",5
Менялка,"(do): Выкинь карту из руки, замени на карту того-же типа (harm)1<br>(harm)4: Взять человека","images\cover\",5
Русская рулетка,"(do): (dice) (dmg) цели (harm)2<br>(harm)0: Загадайте число и бросьте (dice) за себя и за цель тот у кого выпало это число - умирает","images\cover\",6
Газовая станция,"(harm)3: Перезарядка двух любых целей","images\cover\",6
Плед,"(discard)1: Защищает от 1 удара","images\cover\",7
Эмо-ВДВшник,"(do): (dice): 1-4: нанести выпавшее число цели в качестве (dmg) 5-6: нанести выпавшее число себе в качестве (dmg)<br>(harm)0: Наносит (dice)(dmg) любой цели и (dice)(dmg)+1 себе","images\cover\",9
Пупа,"(do): цель получает (dmg)2 кроме (aoe) и получить (arm)1<br>(pass): Если в бою есть Лупа, я получаю урон за Лупу<br>(harm)5: (dmg)5 любой цели","images\cover\",8
Лупа,"(do): цель получает (dmg)1 кроме (aoe) и получить (arm)2<br>(pass): Если в бою есть Пупа, этот я получаю урон за Пупу<br>(harm)3: (arm)5 любой цели","images\cover\",8
